"","V1","V3","n"
"726",17,"giraffe",8
"727",17,"girl",14
"728",17,"give",4
"729",17,"give me five!",16
"730",17,"glass",4
"731",17,"glasses",11
"732",17,"gloves",3
"733",17,"go",32
"734",17,"go potty",12
"735",17,"gonna get you!",16
"736",17,"gonna/going to",4
"737",17,"good",17
"738",17,"goose",9
"739",17,"gotta/got to",1
"740",17,"grandma*",37
"741",17,"grandpa*",33
"742",17,"grapes",15
"743",17,"grass",8
"744",17,"green",5
"745",17,"green beans",4
"746",17,"grrr",46
"747",17,"gum",5
"748",17,"hafta/have to",1
"749",17,"hair",23
"750",17,"hamburger",8
"751",17,"hammer",7
"752",17,"hand",19
"753",17,"happy",9
"754",17,"hard",2
"755",17,"hat",26
"756",17,"have",4
"757",17,"he",1
"758",17,"head",14
"759",17,"hear",1
"760",17,"heavy",2
"761",17,"helicopter",4
"762",17,"hello",22
"763",17,"help",6
"764",17,"hen",3
"765",17,"here",10
"766",17,"hers",1
"767",17,"hi",64
"768",17,"hide",1
"769",17,"high chair",4
"770",17,"hit",5
"771",17,"hold",2
"772",17,"home",21
"773",17,"horse",26
"774",17,"hose",2
"775",17,"hot",49
"776",17,"house",12
"777",17,"hug",16
"778",17,"hungry",5
"779",17,"hurry",1
"780",17,"hurt",7
"781",17,"I",11
"782",17,"ice",13
"783",17,"ice cream",14
"784",17,"if",1
"785",17,"inside/in",10
"786",17,"is",2
"787",17,"it",5
"788",17,"jacket",8
"789",17,"jar",2
"790",17,"jeans",2
"791",17,"jello",6
"792",17,"jelly",3
"793",17,"juice",34
"794",17,"jump",10
"795",17,"keys",36
"796",17,"kick",5
"797",17,"kiss",21
"798",17,"kitchen",5
"799",17,"kitty",44
"800",17,"knee",13
"801",17,"knife",1
"802",17,"knock",9
"803",17,"ladder",1
"804",17,"lady",2
"805",17,"lamb",4
"806",17,"lamp",2
"807",17,"later",1
"808",17,"lawn mower",4
"809",17,"leg",11
"810",17,"lemme/let me",5
"811",17,"lick",1
"812",17,"light",25
"813",17,"like",1
"814",17,"lion",8
"815",17,"lips",7
"816",17,"listen",3
"817",17,"little (description)",4
"818",17,"living room",4
"819",17,"lollipop",6
"820",17,"look",6
"821",17,"loud",1
"822",17,"love",13
"823",17,"lunch",6
"824",17,"mad",4
"825",17,"mailman",3
"826",17,"man",7
"827",17,"me",22
"828",17,"meat",4
"829",17,"medicine",7
"830",17,"melon",2
"831",17,"meow",37
"832",17,"milk",29
"833",17,"mine",32
"834",17,"mittens",1
"835",17,"mommy*",74
"836",17,"money",12
